timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2017-08-17 04:00:00,4349.99,4349.99,4261.32,4349.99,82.08886500,1502956799999,353194.33293028,334,64.01372700,275647.42191079,0
2017-08-17 08:00:00,4427.3,4485.39,4333.32,4427.3,63.61988200,1502971199999,282501.15774965,248,58.78763300,261054.05115395,0
2017-08-17 12:00:00,4352.34,4485.39,4333.42,4352.34,174.56200100,1502985599999,774238.79831726,858,125.18413300,555419.75806110,0
2017-08-17 16:00:00,4325.23,4354.84,4200.74,4325.23,225.10971600,1502999999999,965291.09880366,986,165.03636300,707808.20092154,0
2017-08-17 20:00:00,4285.08,4369.69,4258.56,4285.08,249.76991300,1503014399999,1079544.66293121,1001,203.22668500,878286.96855663,0
2017-08-18 00:00:00,4292.39,4340.62,4134.61,4292.39,276.19304300,1503028799999,1175805.57438953,1036,214.65557000,915578.05399653,0
2017-08-18 04:00:00,4300.25,4340.62,4234.43,4300.25,248.38902900,1503043199999,1063954.72616754,1135,203.64669900,872408.75176393,0
2017-08-18 08:00:00,4340.31,4371.52,4259.85,4340.31,196.14012900,1503057599999,845595.86604280,880,167.10573200,720161.34080559,0
2017-08-18 12:00:00,4236.89,4340.31,4193.7,4236.89,175.96938400,1503071999999,749458.52575861,697,147.07831200,626284.07432919,0
2017-08-18 16:00:00,4136.28,4297.75,4015.7,4136.28,193.64697000,1503086399999,807331.06009917,753,153.45894400,641094.96292248,0
2017-08-18 20:00:00,4108.37,4136.48,3938.77,4108.37,109.54970900,1503100799999,444812.55371386,732,86.92345300,353596.13270036,0
2017-08-19 00:00:00,4138.55,4184.69,4084.28,4138.55,108.51044800,1503115199999,449351.42223461,585,92.39917400,382661.64455272,0
2017-08-19 04:00:00,4033.47,4156.0,3933.21,4033.47,112.75207900,1503129599999,457214.75420634,493,76.67902700,310960.50822565,0
2017-08-19 08:00:00,3957.6,4082.25,3850.0,3957.6,77.25604200,1503143999999,307816.36811400,481,44.21958400,177045.86484426,0
2017-08-19 12:00:00,3972.05,4100.0,3928.89,3972.05,47.51557800,1503158399999,192323.93679216,320,33.81475900,137030.52729860,0
2017-08-19 16:00:00,4076.12,4103.92,3953.4,4076.12,25.92505600,1503172799999,104478.70292304,161,20.09867300,81056.62024693,0
2017-08-19 20:00:00,4139.98,4149.99,4051.47,4139.98,9.35056000,1503187199999,38298.55115136,113,7.12482500,29246.70491919,0
